,tweet_id,favorites,retweets
1045,713175907180089344,4639,1540
1046,713177543487135744,7496,2996
1047,713411074226274305,4590,1369
1048,713761197720473600,5081,1457
1049,713900603437621249,2955,783
1050,713919462244790272,3414,821
1051,714141408463036416,4485,1487
1052,714214115368108032,2361,931
1053,714251586676113411,3398,887
1054,714258258790387713,3142,757
1055,714606013974974464,3773,979
1056,714631576617938945,3398,1061
1057,714957620017307648,4304,1504
1058,714982300363173890,3910,1094
1059,715009755312439296,4333,1314
1060,715200624753819648,5327,1997
1061,715220193576927233,2513,692
1062,715342466308784130,3153,721
1063,715360349751484417,5688,1666
1064,715680795826982913,4497,1716
1065,715696743237730304,4056,1360
1066,715733265223708672,4859,1786
1067,715928423106027520,3314,923
1068,716080869887381504,6996,2032
1069,716285507865542656,2889,1150
1070,716439118184652801,2464,224
1071,716791146589110272,6229,1518
1072,716802964044845056,4455,1247
1073,717009362452090881,3400,1029
1074,717047459982213120,6526,2023
1075,717421804990701568,3272,889
1076,717537687239008257,5983,1944
1077,717790033953034240,3003,1193
1078,717841801130979328,2551,627
1079,718234618122661888,4038,1064
1080,718246886998687744,2008,529
1081,718454725339934721,5060,1595
1082,718460005985447936,2802,557
1083,718540630683709445,2583,1072
1084,718613305783398402,2535,508
1085,718631497683582976,19654,8551
1086,718939241951195136,5451,1867
1087,718971898235854848,3629,1158
1088,719332531645071360,3551,1008
1089,719339463458033665,4588,1323
1090,719367763014393856,2905,784
1091,719551379208073216,5256,2036
1092,719704490224398336,4740,1533
1093,719991154352222208,5023,1848
1094,720043174954147842,5101,2124
1095,720059472081784833,4042,1192
1096,720340705894408192,2984,1032
1097,720389942216527872,6661,2663
1098,720415127506415616,4296,1587
1099,720775346191278080,2579,716
1100,720785406564900865,3242,814
1101,721001180231503872,2632,652
1102,721503162398597120,4841,1981
1103,722613351520608256,5164,1731
1104,722974582966214656,4278,1662
1105,723179728551723008,5505,1985
1106,723673163800948736,3147,943
1107,723688335806480385,8017,3161
1108,723912936180330496,4060,1296
1109,724004602748780546,4355,1668
1110,724046343203856385,2770,593
1111,724049859469295616,4496,1871
1112,724405726123311104,5515,1744
1113,724771698126512129,2468,679
1114,724983749226668032,3864,1378
1115,725729321944506368,5398,1885
1116,725786712245440512,4335,1437
1117,725842289046749185,7347,2810
1118,726224900189511680,4593,1217
1119,726828223124897792,3695,1064
1120,726887082820554753,3994,1595
1121,726935089318363137,7163,2597
1122,727175381690781696,4034,1459
1123,727286334147182592,3169,865
1124,727314416056803329,3464,796
1125,727524757080539137,4651,1291
1126,727644517743104000,6141,1851
1127,727685679342333952,3047,671
1128,728015554473250816,4265,1161
1129,728035342121635841,4738,1767
1130,728046963732717569,4483,1247
1131,728387165835677696,3820,1015
1132,728409960103686147,5112,2123
1133,728653952833728512,3445,1100
1134,728751179681943552,2887,718
1135,728760639972315136,4864,1809
1136,728986383096946689,3289,866
1137,729113531270991872,1965,348
1138,729463711119904772,6045,2451
1139,729823566028484608,4153,1314
1140,729838605770891264,1776,408
1141,729854734790754305,4208,1196
1142,730196704625098752,5096,2038
1143,730211855403241472,3992,1120
1144,730427201120833536,3610,1106
1145,730573383004487680,5123,2286
1146,730924654643314689,6384,2102
1147,731156023742988288,3998,1349
1148,731285275100512256,3630,1045
1149,732005617171337216,15569,5796
1150,732375214819057664,8436,2681
1151,732585889486888962,3836,819
1152,732726085725589504,3679,936
1153,732732193018155009,2543,567
1154,733109485275860992,51379,17842
1155,733460102733135873,4388,1357
1156,733482008106668032,3280,1008
1157,733822306246479872,3817,1068
1158,733828123016450049,3743,823
1159,734776360183431168,2617,579
1160,734787690684657664,13103,6683
1161,734912297295085568,2851,548
1162,735137028879360001,3262,1029
1163,735256018284875776,3486,941
1164,735274964362878976,13575,5391
1165,735635087207878657,6446,2495
1166,735648611367784448,4181,1169
1167,735991953473572864,3750,1222
1168,736010884653420544,8235,3158
1169,736225175608430592,8485,2938
1170,736365877722001409,4164,1327
1171,736736130620620800,4499,1842
